1,8 1,6026666666666691
8,770000000000001 1,707666666666665
9,270000000000001 2,2115894039735093
9,470000000000002 3,7524
9,530000000000001 4,623947368421054
9,170000000000002 4,330131578947369
14,580000000000002 4,27434210526316
14,830000000000002 4,406184210526318
14,9 5,5796710526315785
14,820000000000002 5,436447368421054
18,590000000000003 5,28703947368421
23,220000000000002 4,839740259740256
18,44 6,336493506493509
16,32 6,469607843137258
18,37 6,968387096774195
18,67 6,6333548387096775
20,5 6,527898089171977
18,66 7,325562913907281
27,42 7,572337662337659
24,050000000000004 7,588815789473681
26,470000000000002 7,853846153846154
23,520000000000003 7,788101265822782
27,090000000000003 7,93407643312102
23,23 8,133396226415094
19,36 7,843076923076923
23,160000000000004 7,8701875
23,360000000000003 8,216708860759498
21,240000000000002 7,962530864197531
28,06 8,157999999999998
23,85 8,367124999999998
27,92 8,45012658227848
23,860000000000003 8,466851851851851
21,430000000000003 8,638641975308643
27,66 8,840372670807456
21,66 8,819597315436242
21,21 8,863356164383564
23,78 8,835000000000004
21,14 8,612464788732394
23,610000000000003 8,675999999999997
23,310000000000002 8,956855345911954
27,79 8,994081632653057
19,580000000000002 8,604233128834354
21,220000000000002 8,551312499999998
20,940000000000005 8,60509202453988
28,35 8,982345679012347
27,84 9,248527607361964
23,51 9,251575757575758
21,57 9,29321212121212
20,79 9,205731707317073
23,130000000000003 9,358036809815957
27,930000000000003 9,65114457831325
27,01 9,782361111111108
23,510000000000005 9,466049382716049
22,98 9,872628205128207
21,610000000000003 10,463169014084508
23,700000000000003 10,02158536585366
24,07 9,69339622641509
21,500000000000004 9,543024691358024
23,640000000000004 9,504967741935484
24,400000000000002 9,381756756756756
27,700000000000003 10,174527027027029
27,750000000000004 10,171372549019607
27,6 10,419806451612905
27,44 10,049430379746834
24,17 9,961296296296297
24,630000000000003 9,62552795031056
23,76 9,142356687898094
22,390000000000004 9,464113924050634
21,02 9,123540372670812
23,320000000000004 9,531543209876546
27,380000000000003 9,209320987654321
27,380000000000003 9,820588235294121
21,240000000000002 9,465466666666666
30,14 9,538797468354437
23,400000000000002 9,854787878787882
20,950000000000003 9,227317073170736
24,440000000000005 9,485833333333334
24,21 9,900320512820514
28,0 9,574573170731703
27,040000000000003 9,70913043478261
28,020000000000003 9,631558441558438
27,42 9,772303030303036
21,180000000000003 9,80051282051282
27,92 9,989570552147237
27,69 10,395670731707314
21,25 10,189675324675328
23,230000000000004 10,52046979865772
27,6 9,90821428571429
23,980000000000004 9,952085889570554
21,830000000000002 10,01823529411765
23,32 9,681916167664673
21,490000000000002 10,04462068965517
24,270000000000003 9,21605263157895
23,360000000000003 9,477564102564108
21,110000000000003 9,025253164556965
21,27 8,643846153846154
26,930000000000003 8,888375
21,57 8,781258278145692
21,030000000000005 8,924493670886076
24,020000000000003 8,134842767295593
